Title,Location,Company,Posting,Salary
Chinese Sous Chef25144240,Batam,Westin Hotels & Resorts,4 hari yang lalu,N/A
Lowongan Kerja Sales Manager - Reactive,Batam,Marriott International,4 hari yang lalu,N/A
Operator Molding,Batam,PT Triplus Hitech,23 hari yang lalu,Rp 4.989.600 per month
Lowongan Kerja Duty Manager-Four Points by Sheraton Batam,Batam,Marriott International,15 hari yang lalu,N/A
Bartender25133813,Batam,Westin Hotels & Resorts,22 hari yang lalu,N/A
Hotel Manager-Four Points by Sheraton Batam25131601,Batu Ampar,Four Points by Sheraton,27 hari yang lalu,N/A
Demi Chef de Partie - All Day Dining25142784,Batam,Westin Hotels & Resorts,7 hari yang lalu,N/A
Social Media & Digital Executive25144359,Batam,Westin Hotels & Resorts,4 hari yang lalu,N/A
Material Planner,Batam,Alcon Indonesia,29 hari yang lalu,N/A
Chief Accounting,Batam,PT Hotel KTM Indonesia,5 hari yang lalu,N/A
Process Engineer,Batam,PT OSI ELECTRONICS,17 hari yang lalu,N/A
Progress Advisor,Batam,PT Edukasi First Batam,28 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month
HRGA,Batam,PT EKSPANSI LINTAS INDONESIA,18 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month
PE Engineer (Fluent in Chinese and Indonesian),Batam Kota,ALD Group Limited,20 hari yang lalu,"Rp 6,750,000 – Rp 8,500,000 per month"
MARKETING,Batu Ampar,Bias Mandiri Group,21 hari yang lalu,N/A
PROCESS TECHNICIAN,Batam Kota,PT. Surya Teknologi Batam,26 hari yang lalu,N/A
Hotel Manager-Four Points by Sheraton Batam25131601,Batu Ampar,Four Points by Sheraton,27 hari yang lalu,N/A
Steward Supervisor25145486,Batam,Westin Hotels & Resorts,3 hari yang lalu,N/A
Assistant Sales Manager - Proactive25144326,Batam,Westin Hotels & Resorts,4 hari yang lalu,N/A
Branch Manager English Academy - Batam Center,Batam,Ruangguru.com,7 hari yang lalu,N/A
Account Manager Batam,Batam,PT Link Net,11 hari yang lalu,N/A
Sales,Batam,PT Louisz International,12 hari yang lalu,Rp 3.500.000 – Rp 5.100.000 per month
Intern,Batam,PT PCBA Semikonduktor Indonesia,7 hari yang lalu,N/A
SALES SUPERVISOR (B2B),Batam,PT Jumbo Power International,29 hari yang lalu,N/A
Lowongan Kerja Sales Manager - Reactive,Batam,Marriott International,4 hari yang lalu,N/A
Chinese Sous Chef25144240,Batam,Westin Hotels & Resorts,4 hari yang lalu,N/A
Sales Representative,Batam,PT PCBA Semikonduktor Indonesia,7 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month
Warehouse Clerk,Batam,PT HOMEWOOD CONTROL SOLUTIONS,14 hari yang lalu,N/A
Production Control Manager,Batam,PT Industrial Brushware Asia Pacific,16 hari yang lalu,N/A
Night Shift Manager,Batam,Alcon Indonesia,21 hari yang lalu,N/A
Operator Molding,Batam,PT Triplus Hitech,23 hari yang lalu,Rp 4.989.600 per month
Social Media & Digital Executive25144359,Batam,Westin Hotels & Resorts,4 hari yang lalu,N/A
HRGA,Batam,PT EKSPANSI LINTAS INDONESIA,18 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month
Supervisor-Restaurant25134685,Batam,Marriott International,20 hari yang lalu,N/A
Demi Chef de Partie - All Day Dining25142784,Batam,Westin Hotels & Resorts,7 hari yang lalu,N/A
Lowongan Kerja Duty Manager-Four Points by Sheraton Batam,Batam,Marriott International,15 hari yang lalu,N/A
Chief Accounting,Batam,PT Hotel KTM Indonesia,5 hari yang lalu,N/A
Bartender25133813,Batam,Westin Hotels & Resorts,22 hari yang lalu,N/A
Hotel Manager25131367,Batam,Westin Hotels & Resorts,27 hari yang lalu,N/A
Cybersecurity Manager,Batam,PT OSI ELECTRONICS,12 hari yang lalu,N/A
Lowongan Kerja Rooms Division Manager-Four Points by Sheraton Batam,Batam,Marriott International,30+ hari yang lalu,N/A
Operations Specialist - Batam,Batam,PT Xanhsm Green And Smart Mobility Indonesia,28 hari yang lalu,N/A
Progress Advisor,Batam,PT Edukasi First Batam,28 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month
Material Planner,Batam,Alcon Indonesia,29 hari yang lalu,N/A
Process Engineer,Batam,PT OSI ELECTRONICS,17 hari yang lalu,N/A
Assistant Director of Finance25128923,Batam,Marriott International,30+ hari yang lalu,N/A
General Services (Pekanbaru),Pekanbaru,"PT SMART,Tbk",7 hari yang lalu,N/A
Expansion Intern (Pekanbaru),Pekanbaru,Hangry,1 hari yang lalu,N/A
Admin & Document Control Contract for Projects (Site Pekanbaru),Riau,PT. HEXA DAYA SOLUSI,20 jam yang lalu,Rp 4.000.000 – Rp 6.000.000 per month
Cinema Supervisor - Pekanbaru,Pekanbaru,PT Graha Layar Prima,18 hari yang lalu,N/A
Cleaning Service (Pekanbaru),Pekanbaru,"PT SMART,Tbk",16 hari yang lalu,N/A
General Admin & Warehouse,Pekanbaru,PT WAHANA INTI SELARAS,8 hari yang lalu,N/A
Area Sales Supervisor - Pekanbaru,Pekanbaru,PT Tangkas Cipta Optimal,8 hari yang lalu,N/A
Area Marketing Supervisor - Pekanbaru,Pekanbaru,PT Korea Tomorrow & Global Indonesia,21 hari yang lalu,N/A
Consulting Sales Engineer,Pekanbaru,PT Daikin Airconditioning Indonesia,8 hari yang lalu,Rp 10.000.000 – Rp 10.050.000 per month
Barista - Pekanbaru,Pekanbaru,PT Pesonna Indonesia Jaya,30+ hari yang lalu,N/A
"Medical Sales Representative, Pekanbaru",Pekanbaru,Teva Pharmaceuticals,18 hari yang lalu,N/A
Store Associate Pekanbaru,Pekanbaru Kota,PT MAP AKTIF ADIPERKASA,7 hari yang lalu,N/A
Agency Business Development Executive (Pekanbaru),Pekanbaru,PT Prudential Life Assurance,1 hari yang lalu,N/A
Lab Analyst,Riau,"PT SMART,Tbk",12 hari yang lalu,N/A
Lowongan Kerja IT Support,Pekanbaru,Rumah Sakit Sansani Pekanbaru,14 hari yang lalu,N/A
CUSTOMER SERVICE,Pekanbaru,PT Caturkarda Depo Bangunan TBK,25 hari yang lalu,N/A
Sales Executive / Sales Engineer,Pekanbaru,Taner Industrial Technology (M) Sdn Bhd,23 hari yang lalu,"Rp 5,500,000 – Rp 7,500,000 per month"
SERVER - RESTO CONCEPT (PEKANBARU),Riau,Ismaya Group,12 hari yang lalu,N/A
Maxride Senior Staff,Pekanbaru,PT. MAX AUTO INDONESIA,4 hari yang lalu,N/A
Lowongan Kerja Operation Internal Audit,Pekanbaru,"PT SMART,Tbk",22 hari yang lalu,N/A
Admin Executive,Pekanbaru Kota,Picket Fence Pre-School (Pekanbaru),7 hari yang lalu,N/A
Relationship Manager,Pekanbaru,"PT Bank Permata, Tbk",15 hari yang lalu,N/A
Agronomy Research Assistant,Riau,"PT SMART,Tbk",16 hari yang lalu,N/A
Agronomy Assistant (Riau),Riau,"PT SMART,Tbk",29 hari yang lalu,N/A
Admin Pendidikan,Pekanbaru,Bina Sains Indonesia,1 hari yang lalu,N/A
Admin Operasional,Pekanbaru,Indo Jaya Computer,5 hari yang lalu,N/A
Branch Manager Electronics,Pekanbaru Kota,Midea Electronics Indonesia,28 hari yang lalu,Rp 13.000.000 – Rp 18.000.000 per month
Sales Representative (Pekanbaru),Pekanbaru,PT DSL INDONESIA,11 hari yang lalu,Rp 4.000.000 – Rp 6.000.000 per month
Sales Manager GT (Pekanbaru),Pekanbaru,PT Lotte Shopping Indonesia,29 hari yang lalu,N/A
SALES MANAGER SUMATERA,Pekanbaru,PT Susu Life Indonesia,29 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Direct Sales Provider,Pekanbaru,Prima Fajar Cahaya Surya,15 jam yang lalu,N/A
System administrator,Pekanbaru,yuni bersaudara sejahtera,3 hari yang lalu,N/A
Cinema Crew - Pekanbaru,Pekanbaru,CINEPOLIS INDONESIA,25 hari yang lalu,Rp 3.200.000 – Rp 3.676.000 per month
Account Officer - Pekanbaru,Pekanbaru,PT Hino Finance Indonesia,22 hari yang lalu,N/A
Relationship Manager Funding (Pekanbaru Branch),Pekanbaru,"PT Bank JTrust Indonesia, Tbk",7 hari yang lalu,N/A
Field Collection (Pekanbaru),Pekanbaru,PT Dipo Star Finance,16 hari yang lalu,Rp 3.700.000 – Rp 4.500.000 per month
Stockpile Operator,Riau,N/A,18 hari yang lalu,N/A
Sales Consultant Executive (Project),Pekanbaru,PT Quadra Dinamika Internasional,15 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month
Senior Commissioning Engineer,Minas,PT. Geoservices,22 hari yang lalu,Rp 25.000.000 – Rp 30.000.000 per month
Account Officer - Heavy Equipment (Pekanbaru),Pekanbaru,PT Chandra Sakti Utama Leasing (Tiara Marga Trakindo Group),26 hari yang lalu,N/A
Lowongan Kerja Skincare Specialist,Pekanbaru,PT Alkesha Cipta Aurora,30+ hari yang lalu,N/A
GENERAL AFFAIR STAFF,Pekanbaru Kota,PT Chemarome Indonesia,18 hari yang lalu,N/A
Funding Officer Riau Area,Pekanbaru,Bank Universal BPR,8 hari yang lalu,N/A
Lowongan Kerja Marketing,Pekanbaru,Rumah Sakit Sansani Pekanbaru,14 hari yang lalu,N/A
Crew Freelance,Pekanbaru,Djoeragan Corp,7 hari yang lalu,N/A
Lowongan Kerja Case Manager,Pekanbaru,Rumah Sakit Sansani Pekanbaru,14 hari yang lalu,N/A
Lowongan Kerja Perawat Gigi,Pekanbaru,Rumah Sakit Sansani Pekanbaru,14 hari yang lalu,N/A
Lowongan Kerja Perawat OK,Pekanbaru,Rumah Sakit Sansani Pekanbaru,14 hari yang lalu,N/A
AREA LEADER,Pekanbaru,"PT Delta Giri Wacana, Tbk.",19 hari yang lalu,N/A
Store Supervisor (Pekanbaru),Pekanbaru,"PT Duta Intidaya, Tbk. (Watsons Indonesia)",20 hari yang lalu,N/A
Lowongan Kerja Perawat Umum,Pekanbaru,Rumah Sakit Sansani Pekanbaru,14 hari yang lalu,N/A
Territory Representative,Pekanbaru,British American Tobacco Indonesia,21 hari yang lalu,N/A
Project Cost Control,Pekanbaru,yuni bersaudara sejahtera,3 hari yang lalu,N/A
Beauty Advisor (Living World Pekanbaru),Pekanbaru Kota,EUROMEDICA GROUP,15 hari yang lalu,N/A
Lowongan Kerja Data Center Engineer,Pekanbaru,Smart Solutions Technologies Pty Ltd -SST,30+ hari yang lalu,N/A
Customer Service Representative XLSmart - Pekanbaru,Pekanbaru,DutaGM,16 hari yang lalu,N/A
Lowongan Kerja Content Creator,Pekanbaru,PT Alkesha Cipta Aurora,30+ hari yang lalu,N/A
Area Marketing Coordinator,Pekanbaru,PT Capella Multidana,6 hari yang lalu,N/A
Lowongan Kerja Design Graphis,Pekanbaru,PT Alkesha Cipta Aurora,30+ hari yang lalu,N/A
RESTAURANT SUPERVISOR - PEKANBARU AREA,Pekanbaru,PT WIRYAMANTA SADINA (WINGSTOP),21 hari yang lalu,N/A
Account Executive Regional KompasTV Pekanbaru,Pekanbaru,Kompas Gramedia - KG Media,19 hari yang lalu,N/A
Field Specialist - Cementing,Pekanbaru,Baker Hughes,6 hari yang lalu,N/A
Lowongan Kerja System Architecture Engineer Pekanbaru,Pekanbaru,PT Schneider Electric,30+ hari yang lalu,N/A
Retail Store Manager - Pekanbaru,Pekanbaru,N/A,19 hari yang lalu,Rp 6.500.000 – Rp 9.000.000 per month
Bussines Partner ALL Area Riau,Pekanbaru,PT Amartha Mikro Fintek (Jakarta),12 hari yang lalu,N/A
Business Representative,Pekanbaru,PT Global Sarana Sukses,14 hari yang lalu,N/A
Vice Principal,Pekanbaru Kota,Picket Fence Pre-School (Pekanbaru),14 hari yang lalu,N/A
Sales Assistant - Senior Sales Assistant,Pekanbaru Kota,PT Mitra Adiperkasa Tbk (MAP Fashion1),23 hari yang lalu,N/A
Lowongan Kerja Host Live,Pekanbaru,PT Alkesha Cipta Aurora,30+ hari yang lalu,N/A
Sales Project Executive - Pekanbaru,Pekanbaru,PT. MAXIMUS ALUMINIUM INDONESIA,21 hari yang lalu,N/A
Lowongan Kerja Associate Business Manager Air Molek,Pekanbaru,Frisian Flag,14 hari yang lalu,N/A
Dimsum Cook,Riau,Marriott International,30+ hari yang lalu,N/A
Sales,Pekanbaru,PT. SINARMAS DISTRIBUSI NUSANTARA,22 hari yang lalu,N/A
Resident Engineer,Pekanbaru,Valmet,15 hari yang lalu,N/A
Beauty Advisor (Pekanbaru),Pekanbaru,PT Beaute Haul Indonesia (Beautyhaul - Somethinc),30+ hari yang lalu,N/A
Technical Assistant / Workshop Assistant / Traction Assistant (Riau),Kampar,"PT SMART,Tbk",13 hari yang lalu,N/A
HR Expert,Riau,ASIA PULP AND PAPER,29 hari yang lalu,N/A
Technical Assistant to support Farmer Livelihood and income assesment,Riau,Earthworm Foundation,2 hari yang lalu,N/A
Sales Indoor (Support),Pekanbaru,PT Yokogawa Indonesia,27 hari yang lalu,N/A
Chief Steward,Riau,Marriott International,30+ hari yang lalu,N/A
Lowongan Kerja Buyer,Pekanbaru,PT Global Ritel Digital,14 hari yang lalu,N/A
Lowongan Kerja Dokter Spesialis THT,Pekanbaru,RSIA Andini Pekanbaru,14 hari yang lalu,N/A
Sales Promoter Leader,Pekanbaru,Cermati Fintech Group,30+ hari yang lalu,N/A
OPERATION SUPERVISOR (AIR MOLEK & TELUK KUANTAN),Riau,PT Yafindo Global Investama,13 hari yang lalu,N/A
"Bancassurance Officer Area Pekanbaru, Palembang",Pekanbaru,PT Panin Dai-ichi Life (Bancassurance),26 hari yang lalu,Rp 4.300.000 – Rp 6.000.000 per month
Sales Provider Lapangan,Pekanbaru,PT SIGMA SOLUSI SERVICE,7 hari yang lalu,N/A
Business Representative - Pekanbaru,Pekanbaru,"PT Adi Sarana Armada, Tbk",28 hari yang lalu,N/A
Freelance Sales,Pekanbaru,Go Golf Simulator,10 hari yang lalu,N/A
Educational Sales Representative,Pekanbaru,PT INTAN PARIWARA,20 hari yang lalu,Rp3.300.000 – Rp3.600.000 per month
Admin Media Sosial,Marpoyan Damai,Aneka mainan Pekanbaru,22 hari yang lalu,N/A
Project Buyer DPJBY,Riau,Oil States Industries,30+ hari yang lalu,N/A
Sales Manager,Pekanbaru,PT Electrolux Indonesia,30+ hari yang lalu,N/A
Sales Specialist (Sumatera),Riau,PT Zoomlion Indonesia Heavy Industry,29 hari yang lalu,N/A
Lowongan Kerja Ahli Gizi,Kampar,Rumah Sakit Mesra,14 hari yang lalu,N/A
Area Manager,Riau,WireHire,30+ hari yang lalu,N/A
QA Risk Specialist - Jambi,Riau,PT Amartha Mikro Fintek (Jakarta),30+ hari yang lalu,N/A
Admin Media Sosial,Marpoyan Damai,Aneka mainan Pekanbaru,22 hari yang lalu,N/A
Sales Manager,Pekanbaru,PT Electrolux Indonesia,30+ hari yang lalu,N/A
Server,Padang,ISMAYA Group - PADANG Area,6 hari yang lalu,N/A
SERVER & CASHIER - PADANG (RESTO CONCEPT),Padang,ISMAYA GROUP,5 hari yang lalu,N/A
Sales Officer Commercial,Padang,PT Adira Dinamika Multi Finance Tbk,19 hari yang lalu,N/A
Business Executive (Sales Wilayah Padang),Padang,PT. Datascrip,5 hari yang lalu,N/A
Relationship Manager,Padang,"PT Bank Permata, Tbk",11 hari yang lalu,N/A
Lowongan Kerja Agent Partner Amarthalink - Sumatera Barat,Padang,PT Amartha Mikro Fintek (Jakarta),8 hari yang lalu,N/A
SOZO SKIN - Clinic Manager (Padang),Padang,SEVEN Retail Group,15 hari yang lalu,N/A
Relationship Officer BCA Finance - Penempatan Padang,Padang,PT BCA Finance,6 hari yang lalu,N/A
Area Sales Manager Wilayah Padang (Dumai & Padang),Padang Barat,PT BNI Life Insurance,7 hari yang lalu,N/A
Area Sales Supervisor - Food Service (Padang),Padang,"PT SMART,Tbk",23 hari yang lalu,N/A
SOZO - Dokter Estetika (Padang),Padang,SEVEN Retail Group,22 hari yang lalu,"Rp 20,000,000 – Rp 25,000,000 per month"
Kurir Delivery Solok Selatan,Solok,Ninja Xpress,28 hari yang lalu,N/A
Lowongan Kerja Area Manager - Sumatera Barat,Padang,PT Amartha Mikro Fintek (Jakarta),30+ hari yang lalu,N/A
Sales Modern Trade Supervisor (Sumatera Barat),Sumatera Barat,PT Uni-Charm Indonesia Tbk,26 hari yang lalu,Rp 7.000.000 – Rp 8.000.000 per month
Admin,Batang Anai,PT Cipta Aneka Selera,9 hari yang lalu,N/A
Sales Route Specialist,Padang Barat,PT Daikin Airconditioning Indonesia,29 hari yang lalu,Rp 9.400.000 – Rp 9.450.000 per month
Sales,Sumatera Barat,PT OB Furni Interindo ( OB FIT ),25 hari yang lalu,N/A
Sales Executive,Pariaman,Staffinc,21 hari yang lalu,Rp 3.000.000 – Rp 4.500.000 per month
CSR GraPARI - Sumatera Barat,Padang,Infomedia,4 jam yang lalu,N/A
Sales Promotion (SPG),Padang,PT Pilofice,1 jam yang lalu,N/A
Direct Sales Provider,Padang,Prima Fajar Cahaya Surya,15 jam yang lalu,N/A
Sales Trainee Academy - Padang,Padang,Ruangguru.com,1 hari yang lalu,N/A
Account Executive Myrepublic Padang,Padang,TRI ORION PROSPEKINDO,2 hari yang lalu,N/A
Store Manager/Store Head/Store Leader/Store Consultant,Padang Barat,Xiaomi Technology,22 jam yang lalu,N/A
Field Sales,Padang,PT Sinar Jernih Suksesindo,26 hari yang lalu,N/A
BRANCH MANAGER - Padang,Padang,PT Jaya Fermex,4 hari yang lalu,N/A
SALES - Padang,Padang,PT Jaya Fermex,4 hari yang lalu,N/A
Sales Promotor Team Leader - Padang Area,Padang,Indodana,6 hari yang lalu,N/A
Driver,Padang,Blue Bird Group Padang,2 hari yang lalu,Rp 3.000.000 – Rp 4.500.000 per month
Customer Service,Padang,PT GOS Indoraya,6 hari yang lalu,N/A
Sales Trainee Academy for English Academy - Padang - Tarandam,Padang,Ruangguru.com,8 hari yang lalu,N/A
Lowongan Kerja Oncology Medical Representative - Padang,Padang,PT AstraZeneca Indonesia,14 hari yang lalu,N/A
Field Collection,Padang,N/A,9 hari yang lalu,Rp 3.500.000 – Rp 4.000.000 per month
Customer Relation Representative (CRR) - Padang,Padang,DutaGM,12 hari yang lalu,N/A
Customer Service Officer (CSO) - Padang,Padang,PT Binajasa Sumber Sarana (BSS Recruitment),15 hari yang lalu,N/A
Lowongan Kerja Account Management - PADANG,Padang,PT.Sinergi Performa Energi Cipta,14 hari yang lalu,N/A
CUSTOMER SERVICE OFFICER,Padang,PT GOS Indoraya,5 hari yang lalu,N/A
Financial Service Consultant (Bancassurance) - Sumatera,Padang,PT Prudential Sharia Life Assurance,8 hari yang lalu,N/A
Direct Sales,Padang,PT Mandiri Daya Andalan (MDA),9 hari yang lalu,N/A
Account Executive,Padang,PT Pilar Surya Cemerlang,13 hari yang lalu,N/A
Sales Internet,Padang,PT SIGMA SOLUSI SERVICE,19 hari yang lalu,N/A
Lowongan Kerja Station Head UPG,Padang,Malaysia Airlines,14 hari yang lalu,N/A
Lowongan Kerja Field Relationship Officer / Penagihan,Padang,Matra Daya Rajasa,14 hari yang lalu,N/A
GENERAL AFFAIR STAFF,Padang,PT Chemarome Indonesia,19 hari yang lalu,N/A
Medical Representative (Padang),Padang Barat,PT Kasoem Hearing,8 hari yang lalu,N/A
GURU EDUGYMNAKIDS CLC MARAPALAM PADANG,Padang,Uniqkids Edugymnakids CLC Pusat,13 hari yang lalu,N/A
Lowongan Kerja CHANNEL BUSINESS DEVELOPMENT - PARIAMAN,Padang,PT SIMGROUP (SOURCING HO),14 hari yang lalu,N/A
Lowongan Kerja Data Entry & Collection Support - PADANG,Padang,PT.Sinergi Performa Energi Cipta,14 hari yang lalu,N/A
Lowongan Kerja Account Executive,Padang,PT Berkah Trijaya Indonesia Padang,14 hari yang lalu,N/A
Lowongan Kerja Business Executive Padang,Padang,PT B. Braun Medical Indonesia,14 hari yang lalu,N/A
Lowongan Kerja STAFF RECRUITMENT LAPANGAN,Padang,PT SIMGROUP (SOURCING HO),14 hari yang lalu,N/A
Lowongan Kerja Problem Account,Padang,OTO Group,14 hari yang lalu,N/A
Trainer Staff,Padang,PT Mitra Bali Sukses (Mie Gacoan),15 hari yang lalu,N/A
Sales Executive,Padang,PT. Majoo Teknologi Indonesia,7 hari yang lalu,N/A
Instruktur Mengemudi,Padang,Gee Driving (Sekolah Mengemudi),18 hari yang lalu,Rp 2.000.000 – Rp 3.000.000 per hour
Apoteker Store (PADANG),Padang,"PT Duta Intidaya, Tbk. (Watsons Indonesia)",21 hari yang lalu,N/A
Admin Timbangan,Padang,PT Hasel Milek Jaya,13 hari yang lalu,N/A
B2B Sales ( Account Manager ),Padang,N/A,21 hari yang lalu,Rp 8.500.000 – Rp 10.500.000 per month
Lowongan Kerja Customer Service Support - PADANG,Padang,PT.Sinergi Performa Energi Cipta,14 hari yang lalu,N/A
Business Representative - Padang,Padang,"PT Adi Sarana Armada, Tbk",30+ hari yang lalu,N/A
Marketing Agen Officer Mobilku,Padang,PT Sinar Jernih Suksesindo,14 hari yang lalu,N/A
SPG/B SELFIETIME PLAZA ANDALAS,Padang,PT INTI NYA TEKNOLOGI,14 hari yang lalu,N/A
Store Supervisor (Padang),Padang,"PT Duta Intidaya, Tbk. (Watsons Indonesia)",16 hari yang lalu,N/A
CREDIT MARKETING OFFICER,Padang,PT Swapro International,15 hari yang lalu,N/A
Relationship Officer,Padang,PT. Fidac Inovasi Technology,30+ hari yang lalu,N/A
Kanvasser Aplikasi Nasional,Padang,PT Relasi Mahakarya Wijaya,12 hari yang lalu,N/A
Lowongan Kerja Staf Bancassurance Padang,Padang,Kitabisa,22 hari yang lalu,N/A
Lowongan Kerja Sales Supervisor,Padang,PT Pancaran Sinar Mandiri,14 hari yang lalu,N/A
"Lowongan Kerja Salesman Taking Order, Kota Padang",Padang,PT Kharisma Potensiaa Indonesia,14 hari yang lalu,N/A
sellers,Padang,PT.BIUE FOOD SUCCESS,29 hari yang lalu,Rp 3.333.333 – Rp 5.000.000 per month
Supervisor Logistik,Padang,PT. SINARMAS DISTRIBUSI NUSANTARA,29 hari yang lalu,N/A
Bussiness Partner Dharmasraya,Sumatera Barat,amartha micro fintech,9 hari yang lalu,N/A
SALES OFFICER,Sumatera Barat,PT Swapro International,11 hari yang lalu,N/A
MOTORIS,Padang,PT Global Sarana Sukses,28 hari yang lalu,N/A
Field Education Consultant (STAR) : Padang,Padang,Ruangguru.com,29 hari yang lalu,N/A
Bussiness Partner Agam,Sumatera Barat,amartha micro fintech,9 hari yang lalu,N/A
Regional Sales Manager Sumbagsel,Sumatera Barat,PT Bina Karya Prima,29 hari yang lalu,N/A
Offline Promoter (Padang),Padang,Indodana,23 hari yang lalu,N/A
Beauty Advisor (Solok),Solok,PT Beaute Haul Indonesia (Beautyhaul - Somethinc),5 hari yang lalu,N/A
Merchandiser SAT IDM,Padang,Indofood Group,30+ hari yang lalu,N/A
Branch Manager - Tanah Datar (Batusangkar),Sumatera Barat,Ruangguru.com,30+ hari yang lalu,N/A
STORE SUPERVISOR - RESTO CONCEPT (PADANG),Padang,Ismaya Group,30+ hari yang lalu,N/A
FINANCIAL ADVISOR,Sumatera Barat,PT. SAPTA SINERGI SOURCHINDO,19 hari yang lalu,N/A
Branch Manager - Tanah Datar / Batusangkar (Sumatra Barat),Sumatera Barat,Ruangguru.com,30+ hari yang lalu,N/A
CASHIER - RESTO CONCEPT (PADANG),Padang,Ismaya Group,30+ hari yang lalu,N/A
Lowongan Kerja EN - Food & Beverage Manager,Padang,AccorHotel,30+ hari yang lalu,N/A
Lowongan Kerja KG VJF Tribun Network | Digital Account Executive | Padang,Padang,Kompas Gramedia - KG Media,30+ hari yang lalu,N/A
Master Teacher Brain Academy Center - Tanah Datar (Batusangkar),Sumatera Barat,Ruangguru.com,30+ hari yang lalu,N/A
Lowongan Kerja KG VJF Tribun Network | Reporter | Padang,Padang,Kompas Gramedia - KG Media,30+ hari yang lalu,N/A
ASSISTANT STORE MANAGER - RESTO CONCEPT (PADANG),Sumatera Barat,Ismaya Group,30+ hari yang lalu,N/A
Lowongan Kerja Warehouse Admin - Dealer Financing Padang,Padang,PT Moladin Digital Indonesia,30+ hari yang lalu,N/A
Lowongan Kerja Staff Keuangan & Perpajakan,Padang,PT Bina Enviro Nusa,30+ hari yang lalu,N/A
Bussiness Partner Solok Selatan,Solok,amartha micro fintech,9 hari yang lalu,N/A
Merchandiser,Solok,PT Djabesdepo Fortuna Raya,15 hari yang lalu,N/A
Sales Taking Order Staff Solok,Solok,Cimory Group,23 hari yang lalu,N/A
SALES AKUISISI MERCHANT,Solok,PT.Sinergi Performa Energi Cipta,29 hari yang lalu,N/A
Branch Manager English Academy - Bandung [Kopo],Bandung,Ruangguru.com,30+ hari yang lalu,N/A
"Team Leader - Sumurbandung, Bandung Barat",Bandung Barat,PT. Trijaya Pratama,15 hari yang lalu,N/A
Lowongan Kerja Laboratory Technician,Bandung,PT Kerry Ingredients Indonesia,20 hari yang lalu,N/A
Social Media Specialist,Bandung,Passion Dental Care,29 hari yang lalu,N/A
Manager Fundraising,Bandung,Yayasan Amal Filantropi Muslim,30+ hari yang lalu,N/A
Lowongan Kerja Teknik Lingkungan - Air Minum,Bandung,PT Bemaco Rekaprima,14 hari yang lalu,N/A
"Lowongan Kerja Marketing Khusus Pembiayaan ASN Sipil, TNI & Polri - KC Subang",Bandung,BRI Mekarsari,14 hari yang lalu,N/A
Cartography Specialist (GIS),Bandung,PT. Teknologi Perdana Indonesia,29 hari yang lalu,N/A
Lowongan Kerja Koki / Chef Makanan Indonesia / Wastern / Italian,Bandung,13 Ball Pool Billiard & Resto,14 hari yang lalu,N/A
Lowongan Kerja Teknik Instrumentasi K3 Konstruksi,Bandung,PT Bemaco Rekaprima,14 hari yang lalu,N/A
Purchasing Supervisor,Bandung Barat,PT.ATEJA TRITUNGGAL,29 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month
Hotel Affiliate Creator Freelance - Bandung,Bandung,RedSeller RedDoorz Indonesia,30+ hari yang lalu,N/A
Junior Sous Chef,Bandung,PT Accor Advantageplus,30+ hari yang lalu,N/A
HR Generalist,Bandung,Pinhome,30+ hari yang lalu,N/A
Lowongan Kerja Teknik Lingkungan - Limbah & Sanitasi Perpipaan,Bandung,PT Bemaco Rekaprima,14 hari yang lalu,N/A
Assistant FB Sales Manager,Bandung,Four Points,30+ hari yang lalu,N/A
RedSeller RedDoorz Jawa Barat,Bandung,RedSeller RedDoorz Indonesia,30+ hari yang lalu,N/A
People & Culture Executive,Bandung,PT Xtremax Teknologi Indonesia,30+ hari yang lalu,N/A
"Customer Relation - Sumurbandung, Bandung Barat",Bandung Barat,PT. Trijaya Pratama,15 hari yang lalu,N/A
Graphic Design25113698,Bandung,Courtyard by Marriott,30+ hari yang lalu,N/A
Graphic Designer,Bandung,CV Bandung Kemasan,12 hari yang lalu,N/A
Sales & Marketing Staff,Bandung,PT Valbury Asia Futures Bandung,30+ hari yang lalu,N/A
Business Development (Mekari Talenta) - Bandung Placement,Bandung,PT Mid Solusi Nusantara (MEKARI),30+ hari yang lalu,N/A
"SPV - Sumurbandung, Bandung Barat",Bandung Barat,PT. Trijaya Pratama,15 hari yang lalu,N/A
Front Desk Agent25144998,Gununghalu,Aloft Hotels,3 hari yang lalu,N/A
Special Education Teacher,Bandung,Cikal,30+ hari yang lalu,N/A
Jr. Game Porting Programmer,Bandung,PT Agate International,30+ hari yang lalu,N/A
Lowongan Kerja Social Media Marketing,Bandung,PT. Padepokan Tujuh Sembilan,30+ hari yang lalu,N/A
Part Time Mandarin Teacher,Bandung Barat,Chinese Rhyme Language Center,30+ hari yang lalu,N/A
Sales Manager25130914,Gununghalu,Aloft Hotels,28 hari yang lalu,N/A
